image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
6_A_2_stitch.rsml, root_8, a5c36cb3-97d9-4a68-ac68-4dab62589106, 3.5865734, 3.5300484, 4.172007, 0.44996822, 22.230368663349534, 0.3318683, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
6_A_2_stitch.rsml, root_7, 61bd39a5-a2b9-43ae-85a6-f0397dbfe1e4, 4.2478204, 4.153484, 3.0508497, 0.19994128, 249.92399833507017, 0.21204941, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
6_A_2_stitch.rsml, root_6, 03203bcf-4b1e-416b-9bd8-71ed87441152, 2.0681374, 2.0183475, 2.2478876, 0.22320703, 52.77851437718392, 0.2862753, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
6_A_2_stitch.rsml, root_5, 45d0efbd-72bd-462b-948b-852324c47258, 5.270537, 5.188826, 3.3442376, 0.27766535, 253.56194833231572, 0.208984, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
6_A_2_stitch.rsml, root_3, 9c57afed-3c1d-484e-8cca-c66aad90b4cf, 3.2404625, 3.2330523, 2.0858877, 0.11238411, 209.9466415757971, 0.22602677, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
6_A_2_stitch.rsml, root_2, 224b1a76-9aa2-4ff6-af66-5fab0c7ecc2c, 1.7282561, 1.6962414, 1.1885306, 0.07500054, 156.20671318613677, 0.22046228, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
6_A_2_stitch.rsml, root_1, fe5c9caf-7879-4cde-b061-92b3793aa2ef, 2.7085574, 2.6790302, 1.6166872, 0.077617556, 226.9899852909732, 0.18153016, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
6_A_2_stitch.rsml, root_0, 37ff9542-df65-4ba0-96f5-d0b06493c1f9, 6.289672, 6.054422, 5.220916, 0.47954324, 67.21003814997678, 0.25461155, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
7_C_3_stitch.rsml, root_4, 32c2f77f-27aa-452d-92fd-4254058221bd, 4.648808, 4.6210394, 0.973099, 0.03361325, 31.13384980308861, 0.09994903, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
7_C_3_stitch.rsml, root_3, b2e9bec2-b6bb-44bb-8281-d22226c5332a, 5.4747663, 5.432575, 8.083994, 1.0160173, 36.82969481612398, 0.41128615, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
7_C_3_stitch.rsml, root_1, 88430f9e-031b-49e3-a23c-e3bd2f84b7ff, 4.356945, 4.176914, 3.9561949, 0.28986642, 62.40672127654366, 0.28759345, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
